name,purpose,hidden_sizes,dropout_ratio,epochs,batch_size,updates_per_epoch,total_updates,learning_rate,train_accuracy_percent,test_accuracy_percent,total_params,training_seconds,loss_start,loss_end
baseline,기준 설정,512->256,0.5,20,128,469,9380,0.001,99.82333333333332,98.4,537354,121.80126804113388,0.4134143364906256,0.044234168666601466
dropout_0_4,Dropout 비율 감소,512->256,0.4,20,128,469,9380,0.001,99.925,98.48,537354,148.00688591599464,0.3420075612980385,0.027649538767296162
epochs_30,반복 횟수 증가,512->256,0.5,30,128,469,14070,0.001,99.94333333333333,98.4,537354,167.58908962504938,0.4134143364906256,0.030679292974383134
batch_64,미니배치 크기 감소,512->256,0.5,20,64,938,18760,0.001,99.79833333333333,98.54,537354,203.57234962494113,0.3790106547137034,0.05186307972941617
wide_1024_512,은닉층 너비 증가,1024->512,0.5,20,128,469,9380,0.001,99.88666666666667,98.54,1336842,331.05662345909514,0.30507696941686374,0.026737090314064467
deep_512_512_256,은닉층 깊이 증가,512->512->256,0.5,20,128,469,9380,0.001,99.785,98.42999999999999,801034,205.1582536669448,0.4747261745628187,0.049281230555243
tuned_dropout_0_4_epochs_30,Dropout 감소와 반복 증가 조합,512->256,0.4,30,128,469,14070,0.001,99.96666666666667,98.52,537354,207.8926102500409,0.3420075612980385,0.020773205787367875
